Performance Summary | MUTUAL FUNDS ASSOCIATION OF PAKISTAN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,amc_clean
Sector,Category,Fund Name,Rating,Benchmark,Validity Date,NAV,YTD,MTD,1 Day,15 Days,30 Days,90 Days,180 Days,270 Days,365 Days,2 Years,3 Years,
Open-End Funds,Money Market (Annualized Return),ABL Cash Fund,AA+(f),,"Jan 16, 2026",10.8238,10.1696,10.4536,9.782,10.4536,10.3843,10.2768,10.1509,10.6389,10.7536,16.3269,20.3894,ABL Mutual Fund
Open-End Funds,Money Market (Annualized Return),ABL Money Market Plan I,AA+(f),,"Jan 16, 2026",10.5568,9.8878,9.765,8.979,9.765,9.5825,9.958,9.8047,10.403,10.4289,16.1043,,ABL Mutual Fund
Open-End Funds,Money Market (Annualized Return),AKD Cash Fund,AA+(f),,"Jan 15, 2026",54.8844,10.2079,11.0814,10.9865,11.0814,10.9245,10.7707,10.1803,10.412,10.6454,16.0975,20.1232,AKD Mutual Fund
Open-End Funds,Money Market (Annualized Return),AL Habib Cash Fund,AAA(f),,"Jan 16, 2026",107.3035,10.298,10.0399,10.293,10.0399,9.8866,10.2265,10.2958,10.6146,10.7983,16.0708,20.044,AL Habib Mutual Fund
Open-End Funds,Money Market (Annualized Return),AL Habib Money Market Fund,AAA(f),,"Jan 16, 2026",106.0798,10.2427,10.018,10.147,10.018,9.8331,10.1961,10.2449,10.5002,10.684,15.9949,20.0181,AL Habib Mutual Fund
Open-End Funds,Money Market (Annualized Return),Alfalah Cash Fund - II (Formerly: Faysal Cash Fund),AA+(f),,"Jan 15, 2026",108.0969,9.8607,10.5746,10.147,10.6288,10.7955,10.104,9.7946,10.5478,10.746,17.1279,20.526,Alfalah Mutual Fund
Open-End Funds,Money Market (Annualized Return),Alfalah GHP Cash Fund,AA+(f),Nil,"Jan 15, 2026",530.8532,9.5848,9.0416,8.7965,9.0423,9.1177,9.3886,9.5058,9.9448,10.1074,15.5928,19.8168,Alfalah GHP Mutual Fund
Open-End Funds,Money Market (Annualized Return),Alfalah GHP Money Market Fund,AA+(f),,"Jan 15, 2026",104.4416,10.05,10.0326,10.001,10.0326,10.0862,10.0679,10.0592,10.3833,10.6462,16.1085,20.2331,Alfalah GHP Mutual Fund
Open-End Funds,Money Market (Annualized Return),Alfalah Money Market Fund - II (Formerly: Faysal Money Market Fund),AA(f),,"Jan 15, 2026",108.7377,9.5317,9.6021,9.8185,9.5508,9.1883,9.2057,9.3448,10.0443,10.5989,15.6051,19.4431,Alfalah Mutual Fund
Open-End Funds,Money Market (Annualized Return),Askari Cash Fund,AA+(f),,"Jan 16, 2026",108.8446,9.1043,8.8208,8.7965,8.8208,8.4838,8.6469,8.9656,9.4704,9.7908,15.2255,19.4799,Askari Mutual Fund
Open-End Funds,Money Market (Annualized Return),Atlas Liquid Fund,AA+(f),,"Jan 16, 2026",530.3134,10.5217,10.5631,9.9645,10.5631,10.422,10.6418,10.4205,10.7083,10.8692,16.3709,20.2859,Atlas Mutual Fund
